Service Account No,Date,Meter Number,Unit of Measurement,,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45
1164050,8/11/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.4,4.8,4.4,4.8,4.8,4,3.2,3.2,2.4,2.8,3.6,3.2,3.2,20.4,30.4,31.2,30.4,30.8,7.2,5.2,3.2,4.8,3.2,5.2,3.6,5.2,4.4,4.8,4.8,6.4,6,6,6,6.8,6.8,6,5.6,5.6,5.6,7.2,6.8,7.2,8,6.4,6.4,7.2,6.8,7.6,7.6,7.6,7.2,8,6,8.4,8.4,11.2,11.2,10.4,20.4,39.2,39.2,39.6,38.4,38.4,38,38.4,25.2,23.2,23.2,10.8,4.8,5.6,5.2,5.2,5.2,4.8,5.2
1164050,8/12/16,259000-079225,KWH_DEL,,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4,3.2,3.6,2.4,3.6,4.4,2.8,2.8,5.2,4.4,3.6,3.6,4.4,3.6,4,4.8,4,4,5.2,4.4,4.8,5.2,4.4,6.4,5.2,4.4,6.4,6.4,6.4,6.4,6,6.8,7.2,6.8,6.8,6.4,7.6,7.6,7.2,8,7.6,7.6,8,7.2,7.6,7.2,7.2,7.2,5.6,8.8,11.2,9.2,11.6,20.4,38.4,39.2,38,37.6,37.6,37.2,36.8,36.4,36.8,36.4,12.8,5.6,4.8,4.8,4.8,5.2,4.8,5.2
1164050,8/13/16,259000-079225,KWH_DEL,,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.4,3.2,3.2,2.8,3.6,5.2,2.8,3.2,4,3.6,4,4.8,4.4,5.6,4.4,6,6,5.6,6,6,6,6,6,7.2,6.4,8,6,8.4,7.6,6.4,7.2,7.2,3.2,2.8,3.2,2.8,3.2,3.2,5.2,4.4,4.8,4.8,4.8,4.8,4.8,4.4,4.8,4.4,4.4,5.2,7.6,7.2,7.6,14.8,22,23.2,24.8,24.8,24,23.6,24,24.8,12.4,8.8,8,6.4,5.6,4.8,5.2,6,4.8,5.2
1164050,8/14/16,259000-079225,KWH_DEL,,6,4.8,5.2,5.6,5.6,6,5.2,4.8,6,4.8,5.2,5.2,6.4,4.8,5.2,4.8,4.8,6,5.2,4.8,4.8,4.8,5.2,5.6,4.8,3.6,3.6,3.6,5.6,4,4,4,3.6,4,4,6.4,6.8,6,6.8,5.2,5.2,5.6,5.6,5.6,5.2,6,5.6,7.2,8.4,8.4,8.8,6.8,9.6,9.2,9.2,9.2,9.6,9.2,10,9.6,10,9.2,10,10,9.6,9.2,10,8.8,10,8.4,7.6,7.2,4.8,4.8,6.8,6.8,7.2,16.4,24,23.2,23.6,24.4,23.6,23.2,24.4,23.2,24,24.8,11.2,6.8,5.6,4.8,5.6,5.6,5.2,5.6
1164050,8/15/16,259000-079225,KWH_DEL,,5.2,4.8,6,4.8,5.2,5.6,5.2,4.8,5.6,5.6,4.8,4.8,4.8,6,5.2,4.8,4.8,5.6,5.2,4.8,5.2,4.8,5.2,5.6,4.4,3.6,3.2,4.4,5.2,2.8,3.6,4,4.8,4.8,5.6,6,5.6,6.4,5.2,6,6.4,6.4,6.4,6.8,6.8,6.8,6.8,7.2,7.2,7.6,7.2,8,7.2,8,8,8.4,7.6,8.4,7.6,8.4,8.4,8.4,9.2,8.8,9.2,8.4,9.2,8.8,8.8,8.8,8.4,8,7.2,8.8,11.2,11.2,11.6,20.8,26,25.6,23.2,12.8,10.8,11.6,10.8,10.8,11.2,10.8,10.8,6.8,6,5.6,6,5.6,5.6,5.6
1164050,8/16/16,259000-079225,KWH_DEL,,5.6,5.6,5.6,5.6,5.2,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,3.2,3.2,3.2,4.4,4.4,2.8,3.6,4,4.4,4.4,6,4.8,5.2,6,4.8,4.8,5.6,5.2,6,4.8,7.2,7.2,5.6,7.6,6.4,7.6,6.8,8,7.6,8.8,7.6,8.4,7.2,8.4,9.6,8,8.8,8.8,10,9.6,8.8,9.6,10,9.6,9.6,9.6,9.6,9.2,8.8,10,11.2,11.6,10.4,13.2,12.8,13.6,11.6,11.6,12.4,10.8,11.2,10,10,9.6,6.4,4.8,4.8,4.8,5.2,4.8,4.8
1164050,8/17/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4.4,3.2,3.2,2.8,4.4,4.4,2.8,3.6,3.6,4.4,4.8,4.8,4.4,4.8,5.2,4.4,6,4.4,5.6,5.2,6,7.2,5.6,5.6,7.2,6.4,8,6.8,8,6.8,8,7.2,8,7.6,8,7.6,8,7.2,8,7.6,7.2,8,6.8,8.8,6.4,8,6.4,8.4,6.8,7.6,9.6,10,10.4,31.6,40,38.4,37.2,25.6,24.8,24,23.6,11.2,10,10,10,7.2,4.8,5.2,4.8,5.2,4.8,4.8
1164050,8/18/16,259000-079225,KWH_DEL,,4.8,5.2,5.6,4.8,4.8,4.8,5.2,5.2,4.8,5.2,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,5.2,4.8,4.8,4.8,4.8,5.2,4.4,3.2,3.6,2.8,4.8,4.4,3.2,3.6,3.6,4,4.4,4.4,5.6,4.8,5.2,6,6.4,4.8,6.8,5.2,6,6.8,6.4,6,6.8,7.2,8,7.2,8,7.2,8,7.6,8.4,7.6,8,7.6,8.4,8.4,8.4,9.6,8.8,8.8,10,8.8,10,8.8,8.4,9.2,8,8,10,9.2,10.8,34.4,37.2,39.2,37.6,36.8,38.8,38.4,36.8,25.6,23.6,22.8,10.8,7.6,5.6,5.2,5.2,4.8,5.2,4.8
1164050,8/19/16,259000-079225,KWH_DEL,,5.2,4.8,5.2,4.8,5.2,5.2,4.8,5.2,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,3.2,2.8,3.2,3.6,4.8,2.8,3.6,5.2,4.4,4,3.6,4,4.4,4,4.8,4.4,4.4,4.8,4,5.2,4.8,4.4,5.6,6.8,4.8,7.2,6,7.2,6.8,6.4,6.8,7.6,6.8,7.6,6.8,8,7.2,7.6,8,8,8.4,8,8,7.6,7.6,8,8,8,6.8,9.2,9.6,10.8,34.4,38,38.4,36.8,36.8,36.8,36.4,36,36,36,36,12.4,7.6,4.8,4.8,4.8,5.2,4.8,4.8
1164050,8/20/16,259000-079225,KWH_DEL,,4.8,5.2,4.8,4.8,5.2,4.8,5.2,5.2,5.2,5.2,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,3.2,3.2,2.8,3.2,4.8,2.8,3.2,3.6,3.6,4,4,4,5.2,5.2,4,6,5.6,5.2,5.6,6,5.6,6.4,5.6,6.4,6.4,8,7.2,8,6.4,5.2,6.8,3.2,3.2,2.8,4.4,4,3.6,4.4,3.6,4,4.8,4.8,6.4,5.6,3.6,6,4,4.4,4.4,6.8,8,7.6,23.6,24,25.6,25.6,25.2,25.6,24.8,24.8,25.2,25.2,13.2,11.6,8.8,4.8,6.4,5.6,4.8,5.6,5.2
1164050,8/21/16,259000-079225,KWH_DEL,,5.2,6,5.2,5.6,5.2,5.2,5.2,6,5.2,5.2,5.2,5.2,5.6,4.8,5.2,5.2,5.2,5.2,5.2,5.2,4.8,5.6,4.8,5.2,4.8,3.6,3.2,3.6,3.6,2.8,4.4,2.8,3.2,3.2,2.8,7.2,4.8,5.6,5.2,5.2,4.8,5.2,5.2,4.8,5.2,6.4,6,6,6.8,5.6,8,6,5.2,6.4,6,7.6,6.8,8,8,7.6,7.6,8,7.6,7.2,7.6,7.6,8,7.6,7.6,6.8,6,5.6,4.4,2.8,8,7.2,8.4,12,10.8,12.4,10.8,12.4,11.2,12,11.2,11.6,11.6,11.2,11.6,6.8,5.6,4.8,5.2,5.2,4.8,6
1164050,8/22/16,259000-079225,KWH_DEL,,4.8,5.2,6,5.6,5.2,4.8,5.2,6,4.8,5.2,5.2,4.8,5.6,5.2,5.2,4.8,5.2,4.8,5.2,5.2,5.2,4.8,5.2,4.8,5.6,3.2,3.6,3.2,3.2,4,2.8,3.2,3.6,3.2,4,4,4.8,3.2,5.2,4.4,4.4,5.6,4.8,4.8,5.6,5.2,6,4.8,6.4,5.6,6,6.8,7.6,6,7.6,6.4,6.8,6,6.8,7.2,6,7.6,5.6,7.2,6.8,7.2,8.4,5.6,8,6,6.4,6,6,6.8,9.6,11.6,10.4,21.6,26.4,26,24.8,13.2,12.4,13.2,11.6,11.2,11.2,11.2,10.8,6.8,4.8,5.2,5.2,4.8,4.8,4.8
1164050,8/23/16,259000-079225,KWH_DEL,,4.8,4.4,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.2,3.2,2.8,3.6,4.4,3.2,3.6,4.8,3.6,4.4,4.4,5.2,5.2,5.6,4.4,5.6,5.2,6.4,4.8,6.4,5.6,6.8,4.8,7.2,6.4,7.2,7.2,6.4,7.6,7.6,7.6,8,7.2,7.6,7.2,8,8,8.4,6.4,7.6,8.4,7.2,6.4,8,6.8,8,7.2,7.2,6.8,10.4,10.4,18.4,38.4,40,39.6,40,37.6,38.4,38.4,38.8,14.8,11.6,10,9.2,7.2,4.8,5.2,4.8,4.8,4.8,4.8
1164050,8/24/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.2,3.2,2.8,3.6,4.4,3.2,3.2,3.6,3.2,5.2,3.6,5.2,4,4.8,5.2,4.4,5.2,4.8,5.2,5.2,6,5.6,5.6,7.6,6,6.8,5.6,7.2,7.2,6.8,7.2,6.4,6,7.6,6.8,5.6,7.2,6.8,7.6,8.4,6.8,8.8,7.2,8.4,6.8,7.2,7.6,7.6,8,10.8,12.4,20.4,38.8,40,33.6,24.8,25.2,24.4,24.8,24.4,12.4,11.6,10.4,9.6,7.2,4.8,4.8,4.8,4.8,5.2,4.4
1164050,8/25/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,3.6,2.8,2.8,4,4.4,3.2,2.8,4,3.6,4,4.8,4.4,4.4,5.6,3.6,4.8,4.4,5.6,4,6,4.4,6.4,4.8,6.4,6.8,6.8,6.8,6.4,7.6,6.4,7.6,6.4,7.2,7.2,8,7.2,8,6.8,9.2,7.2,6.4,8.4,7.6,8.8,8,8,8.4,8,6,8.8,10,23.6,38.8,40,40.4,38.8,39.2,37.2,38,38,26.4,24.8,25.2,12.8,8,4.8,4.8,5.2,4.8,4.8,4.8
1164050,8/26/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,3.6,3.2,2.8,2.8,3.6,2.4,3.2,2.8,3.2,4.8,4.4,4.8,4,4,4.4,3.6,4.4,5.6,5.2,5.6,6,5.2,5.6,5.6,6.8,4.8,7.2,5.6,7.2,6.8,6,7.2,5.2,6,6,6.8,4.4,6.8,5.6,6.4,5.2,6.4,5.2,6.8,5.2,6,5.6,6.8,6,10.4,9.6,23.6,38.8,37.6,40,38.4,38.4,38.4,38.4,38.8,38.8,38.8,36.4,12.8,7.2,5.2,4.8,5.2,5.2,4.8,5.2
1164050,8/27/16,259000-079225,KWH_DEL,,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,5.2,4.8,5.2,4.8,5.2,5.2,5.2,4.8,5.2,5.2,4.8,4.8,5.2,4.8,4.8,4.8,3.6,3.2,2.8,2.8,2.8,2.4,2.8,2.8,3.2,3.2,3.6,3.6,4,3.2,4.8,4,4.4,3.6,4.4,4.4,5.6,4,4.8,4.4,4.4,5.6,5.2,5.2,5.6,3.6,4.8,3.2,4.8,4,3.2,4.8,3.6,4,4.8,3.6,3.6,4.4,4,5.6,4.8,3.2,5.2,3.6,4.4,8.4,10,18.4,24.4,24.8,24.4,25.2,24.8,24.8,25.6,24,25.2,24.8,13.2,12.4,8,5.6,6.4,4.8,5.6,4.8,6
1164050,8/28/16,259000-079225,KWH_DEL,,5.2,5.6,4.8,5.6,5.2,6,4.8,5.2,5.2,5.6,4.8,6,5.2,5.2,5.2,4.8,5.6,5.6,4.8,5.2,5.2,4.8,4.8,5.2,6,3.6,3.2,2.8,2.8,2.8,2.8,2.4,2.8,2.8,2.8,5.6,4.4,4.4,5.2,3.6,4.4,5.2,5.2,5.6,6.8,4.8,6,4,5.2,5.2,4.8,6.4,5.2,6.8,6,6,7.6,6.4,8,8,8.4,7.6,7.2,7.6,7.6,7.2,8,8,5.6,8,7.2,4.4,3.6,3.6,6.8,8,9.2,12,11.2,12.4,11.2,12,11.6,11.6,11.6,11.2,12,11.2,12.8,8.8,5.2,5.2,5.6,4.8,4.8,4.8
1164050,8/29/16,259000-079225,KWH_DEL,,5.6,5.2,4.8,4.8,5.6,4.8,5.2,5.2,4.8,5.6,4.8,4.8,5.2,4.8,4.8,5.6,5.2,4.8,4.8,4.8,4.8,5.2,4.8,4.8,5.2,3.6,3.2,3.2,3.6,3.6,2.8,3.2,3.2,3.6,4,4,4.4,5.6,4.4,5.6,4.4,6,5.6,5.6,6.4,5.2,6.8,6.4,5.2,7.2,6.4,7.2,6.4,7.2,7.6,7.2,8.4,8.4,8.8,8.4,9.6,8.8,8.8,9.2,8.4,9.2,8.8,9.6,8.4,8.8,8.4,7.6,8.4,8.4,12,12.4,21.6,26.4,27.6,27.2,24.8,13.6,11.6,12,12,11.6,11.6,11.2,11.2,8,4.8,4.8,4.8,5.2,4.8,4.8
1164050,8/30/16,259000-079225,KWH_DEL,,4.8,4.8,5.2,4.8,4.4,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,3.6,3.2,3.2,4.4,4.8,2.8,3.6,4.4,4,5.2,5.2,5.6,5.6,6.4,5.2,5.6,5.2,7.2,6,6.4,7.6,6,7.6,7.6,7.6,7.6,8.4,7.6,8.8,8,8,7.6,8.4,8.4,8.4,8.8,8.4,8.4,9.2,10,9.2,8.8,9.2,9.6,9.2,9.2,9.2,9.2,9.2,11.6,11.6,12.4,12.8,15.2,14.4,14,12.8,12,12.4,11.6,13.2,11.6,11.6,11.2,8,4.8,4.8,5.2,4.8,4.8,4.8
1164050,8/31/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4,3.2,3.6,4.8,4.4,2.8,3.6,3.6,5.2,4.8,5.6,4.4,6,4.8,5.6,6,5.6,5.2,6.4,5.6,6.8,5.6,6.4,7.2,6.8,7.6,7.6,7.6,8,7.2,8,7.6,7.2,8,8,8,7.6,8,8.4,7.6,6.8,9.2,9.2,9.2,8.8,7.2,9.2,8.4,8,12.4,12,38,40,38.4,39.2,38,26.8,25.2,24.8,24.4,12.4,12,12,11.2,8.4,4.8,4.8,4.8,4.8,5.2,4.8
1164050,9/1/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4,3.2,2.8,5.2,4.4,2.8,3.6,4,4,4,5.6,5.2,6.4,5.6,5.6,4.8,6,5.2,6,5.2,6,6.4,7.2,6,6.8,6.8,7.2,6.8,7.2,8.4,8,8,8.4,8.4,7.6,8,8,7.2,8.4,8.8,8,8,7.2,6.4,6.8,7.6,6,7.2,7.2,10,13.2,37.6,40,41.2,40.4,40.8,39.2,38.4,38.8,39.2,39.2,38.8,38.4,13.6,8.4,4.4,5.2,4.8,4.8,4.8,4.8
1164050,9/2/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,5.2,4.8,5.2,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,4.8,5.2,4.4,4.8,4.8,4.8,4.8,4.8,4,2.8,3.2,4,5.2,2.8,2.8,5.2,4.8,4,4,3.2,4.8,4.4,3.6,4.8,4.8,4,4.4,5.2,4,7.2,4.8,6.4,5.2,6,7.2,5.6,6.8,6,7.2,6.8,6.4,6.8,6.4,7.2,7.2,6.8,5.6,7.2,5.6,6.8,7.2,5.2,7.6,6.4,5.2,7.6,6.4,11.2,13.2,32.8,27.6,25.6,14,12,12,11.2,11.6,11.2,10.4,9.6,10,9.6,7.2,4.8,5.2,4.8,4.8,4.8,5.2
1164050,9/3/16,259000-079225,KWH_DEL,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,5.2,4.8,4.8,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,4.8,5.2,4.8,5.2,4,3.2,2.8,2.8,2.8,2.8,2.4,3.2,3.6,3.2,3.2,4.4,4,4.4,3.6,4.4,4.8,4,4.8,4.4,4,5.2,4.8,5.2,4.4,5.2,5.2,5.6,4.8,5.2,5.2,4,4,4,4,4,4.4,4.4,4,4.4,4,2.8,3.2,2.8,3.2,2.8,2.8,2.8,2.8,6,10,24,24,24,24.4,24.8,24.4,24,24.4,24,18,10.8,10.8,9.2,7.2,4.8,5.2,4.8,4.8,4.8,4.8
